ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
113,57,9,182,62452,1,8.74,1,64,0,0,1,0,1
114,23,34,116,32205,1,2.05,3,206,1,1,0,1,1
115,57,10,70,66955,1,9.35,1,228,0,1,0,0,1
116,59,10,102,17464,1,9.5,3,68,1,0,1,0,1
117,36,20,74,92646,3,8.78,3,141,1,1,0,1,1
118,25,20,96,82657,3,2.88,3,205,1,0,1,0,0
119,23,21,146,19840,3,8.65,2,173,1,1,1,1,1
120,27,6,191,50768,4,5.23,1,196,0,0,1,1,1
121,48,16,112,19461,2,6.15,2,196,1,0,1,0,1
122,36,1,107,30927,3,8.49,1,227,1,1,0,0,1
123,61,11,99,99934,1,0.78,2,270,0,0,0,0,0
124,49,17,172,25329,3,3.95,3,198,0,1,0,0,1
125,31,10,111,25791,2,8.25,2,14,0,0,0,1,1
126,37,15,66,62627,4,8.23,3,285,1,0,1,1,0
127,37,17,57,24372,1,8.56,2,215,0,0,0,0,0
128,48,34,158,58469,4,2.11,1,34,1,1,1,0,1
129,64,25,34,97073,3,7.21,1,68,0,0,1,0,0
130,35,15,20,44370,1,1.89,2,211,1,1,1,1,0
131,54,5,154,61408,1,7.96,2,45,0,1,0,0,1
132,61,11,20,33703,3,2.83,1,247,0,1,1,1,0
133,54,12,68,25234,3,7.51,2,84,0,1,1,1,1
134,26,3,115,17532,2,4.82,2,47,1,0,0,0,0
135,52,38,176,45416,3,9.87,1,230,1,0,1,1,1
136,59,1,45,82439,3,6.01,3,66,0,0,0,1,0
137,45,25,106,28242,3,6.51,1,88,1,0,0,1,1
138,61,26,192,60254,1,4.0,1,218,1,1,1,0,1
139,37,26,112,89324,2,7.48,2,51,1,1,1,0,1
140,51,14,121,45249,1,5.2,1,21,1,1,0,1,1
141,58,7,90,95078,3,0.67,1,98,1,0,0,0,0
142,35,6,159,42294,2,6.28,2,130,0,1,1,1,1
143,54,39,114,69784,3,8.39,2,87,1,1,1,0,1
144,29,11,179,13684,1,2.75,3,135,0,0,1,1,0
145,44,12,137,33795,1,2.6,1,38,0,0,1,0,0
146,50,16,167,70301,3,6.28,3,17,0,0,1,0,1
147,24,16,138,79187,2,8.27,3,104,1,0,1,1,1
148,64,35,70,20431,1,2.87,3,145,1,0,1,0,0
149,28,20,100,85667,3,9.36,3,223,0,0,1,1,0
150,50,7,55,99627,4,9.31,1,116,0,0,1,0,0
151,50,4,86,65372,3,2.41,1,0,0,1,1,0,0
152,42,25,148,80366,3,3.01,1,116,0,1,0,0,1
153,52,15,133,82870,2,7.16,3,25,1,1,0,0,1
154,33,35,174,57387,3,9.54,2,11,0,0,0,1,1
155,50,27,130,62927,4,7.24,1,293,0,0,0,1,1
156,47,28,187,19304,3,4.73,3,168,1,1,1,1,1
157,61,11,161,27032,4,2.11,3,52,0,0,0,1,0
158,55,36,119,69486,1,4.88,3,268,1,1,1,0,1
159,23,29,128,75552,3,6.26,3,247,0,0,1,0,1
160,49,22,139,83844,2,3.64,3,127,1,1,1,1,1
161,35,15,98,39654,3,5.35,3,75,1,1,1,1,1
162,63,13,153,49244,4,1.74,1,268,1,0,1,1,0
163,25,9,180,15942,4,4.8,2,145,0,0,0,1,0
164,61,6,38,60697,2,1.36,1,47,1,0,0,0,0
165,28,36,146,12693,4,0.97,1,198,0,0,0,1,0
166,30,28,48,66751,3,8.64,3,70,1,1,1,0,1
167,49,2,43,91098,4,2.45,1,91,1,1,0,0,0
168,31,14,170,16259,3,5.96,2,208,1,1,0,0,1
169,59,35,29,14942,3,1.92,2,47,0,1,1,0,0
170,55,18,124,57419,4,2.99,3,28,1,1,1,0,1
171,64,12,188,66105,2,3.93,2,175,1,1,0,0,1
172,46,20,196,75907,1,1.86,3,18,1,0,1,0,0
173,37,36,164,37383,2,0.94,2,46,1,1,1,1,1
174,54,26,192,33404,1,8.83,2,59,0,0,0,1,1
175,54,28,177,82656,2,0.61,1,175,0,1,0,0,1
176,46,19,191,15702,3,1.08,2,254,1,0,1,1,0
177,63,24,74,83883,3,8.15,3,228,1,0,1,0,0
178,34,5,166,66332,4,3.18,2,146,1,1,0,1,1
179,61,35,176,49419,1,7.37,2,297,1,0,0,1,1
180,24,1,21,98078,1,1.89,1,238,0,1,0,1,0
181,25,21,183,83844,4,2.75,3,187,1,0,1,1,0
182,59,31,166,49242,2,5.94,3,208,1,1,0,1,1
183,39,15,154,44142,4,9.89,3,74,0,0,0,1,1
184,24,17,173,17393,2,1.2,1,182,1,1,0,1,1
185,24,4,130,79939,4,4.31,2,86,1,1,1,1,1
186,50,35,57,79082,1,0.91,3,270,0,1,1,0,0
187,45,29,150,38893,1,2.39,2,179,1,0,0,0,0
188,59,18,121,19388,2,9.12,2,244,0,1,1,0,1
189,54,22,114,72969,1,1.42,2,6,1,1,0,1,1
190,55,33,111,46660,1,8.64,1,268,0,1,0,0,1
191,23,12,90,99244,1,2.19,2,12,0,1,0,0,0
192,41,28,190,34726,1,8.69,1,225,1,0,1,1,1
193,24,35,43,89544,3,5.61,1,265,1,0,0,0,0
194,48,21,186,72996,4,8.84,1,241,1,0,1,0,1
195,54,35,87,10111,4,1.94,3,179,1,1,1,1,0
196,28,8,147,27545,3,7.74,1,179,0,0,0,1,1
197,54,38,112,50168,1,6.97,3,125,1,0,1,0,1
198,26,18,63,12379,4,5.66,1,282,1,0,0,1,0
199,33,37,152,97346,4,8.2,1,189,1,0,0,1,1
200,39,5,74,51120,4,6.66,1,15,0,0,0,0,0
201,60,14,177,27809,2,8.83,1,20,0,0,0,1,1
202,46,19,48,62813,3,4.12,2,15,0,1,1,0,0
203,27,8,173,84005,2,6.1,2,268,0,1,0,1,1
204,56,31,173,37967,2,8.77,1,32,0,0,0,1,1
205,28,3,56,19748,3,2.54,2,181,1,1,0,0,0
206,44,17,134,33424,4,5.11,3,68,1,1,0,1,1
207,33,4,177,96512,2,9.63,2,51,1,1,1,1,1
208,38,19,22,33914,4,5.0,2,64,0,1,1,0,0
209,55,22,141,88478,2,2.9,2,299,1,1,0,1,1
210,31,10,62,29491,4,3.84,1,227,0,0,1,1,0
211,28,36,26,59454,1,8.91,3,221,0,0,0,1,0
212,38,21,144,80069,1,9.57,1,271,0,1,0,1,1
213,51,3,68,61925,1,9.53,3,17,0,0,0,0,0
214,25,28,140,99119,3,7.14,1,217,0,0,1,1,1
215,42,33,92,47049,1,5.34,2,272,1,0,0,1,0
216,58,12,60,37821,2,2.24,3,172,1,0,1,1,0
217,41,8,125,39945,4,1.67,2,55,1,0,1,1,0
218,48,30,96,27384,4,1.07,3,8,1,0,0,1,0
219,25,6,146,38410,4,0.67,3,282,0,0,1,0,0
220,41,3,110,87734,4,8.84,1,292,1,1,0,1,1
221,42,18,174,73766,2,8.19,1,21,1,1,1,0,1
222,54,29,27,17169,4,5.89,2,71,0,1,1,0,1
223,29,30,51,50129,2,9.99,2,171,0,0,1,0,0
224,63,34,83,13830,2,9.55,3,122,0,1,1,0,1
225,55,20,157,66306,4,6.72,3,90,1,0,0,1,1
226,62,30,32,96940,4,4.91,1,223,1,1,0,0,0
227,61,18,112,75267,4,1.95,1,291,1,1,0,1,1
228,40,30,182,37757,2,5.4,1,251,0,0,0,1,1
229,62,31,80,73867,3,2.0,1,297,0,1,0,0,0
230,23,1,27,45650,2,4.29,1,255,0,0,0,0,0
231,33,9,48,43766,3,9.46,3,12,0,1,0,1,1
232,50,1,114,91478,4,3.75,3,117,0,1,1,0,1
233,47,1,60,42419,2,1.95,2,177,0,0,1,1,0
234,45,23,177,26668,4,6.03,3,160,1,1,0,0,1
235,53,16,168,26246,3,6.22,1,94,0,1,0,1,1
236,52,31,30,34996,3,2.34,3,167,0,1,1,1,0
237,64,15,21,61312,2,2.37,3,86,0,1,1,0,0
238,57,15,197,13065,2,9.9,3,2,0,1,0,0,1
239,29,38,188,20467,2,2.81,2,15,0,0,0,0,0
240,38,30,150,60646,2,8.46,2,129,0,0,1,0,1
241,48,23,99,31007,1,4.97,3,22,0,0,1,1,0
242,24,0,198,78079,1,4.63,3,97,0,0,1,0,0
243,23,10,106,38702,4,3.3,1,157,0,0,1,1,0
244,34,20,172,85569,3,7.85,2,238,1,0,1,1,1
245,27,3,177,63952,3,8.87,1,9,1,1,0,1,1
246,59,6,125,68065,4,2.98,1,21,1,0,1,1,0
247,54,25,158,44169,4,1.4,3,183,1,0,0,0,0
248,31,11,36,26829,4,1.8,3,216,0,1,1,0,0
249,63,30,173,70135,1,8.03,3,213,1,1,0,1,1
250,57,16,42,14522,4,4.64,1,157,1,0,0,1,0
251,41,32,199,95687,3,1.75,1,209,0,1,0,0,1
252,38,10,67,45319,4,3.73,1,132,0,1,0,0,0
253,25,27,39,36543,2,5.39,3,52,0,1,0,1,1
254,42,31,21,40473,3,8.59,3,228,0,1,1,1,1
255,46,0,107,17699,3,6.6,3,182,1,0,0,1,1
256,55,27,50,78165,3,2.17,1,22,0,0,1,0,0
257,46,6,174,50455,1,2.01,1,105,0,1,0,0,1
258,33,1,149,85692,1,4.42,2,90,0,1,1,0,1
259,30,23,97,27441,3,1.21,3,118,1,1,0,1,0
260,58,3,23,40716,2,7.68,1,137,1,0,0,0,0
261,60,18,160,72175,3,4.31,2,119,0,1,1,1,1
262,62,25,182,16834,1,3.76,1,160,1,0,1,0,0
263,42,10,147,28179,2,5.34,1,207,0,0,1,1,1
264,57,39,153,36219,3,7.24,3,154,1,1,1,0,1
265,47,10,50,25782,1,5.91,2,262,0,1,1,1,1
266,57,2,157,91363,2,8.12,1,154,1,1,0,1,1
267,47,11,40,84967,4,6.48,2,285,1,1,0,1,1
268,51,2,42,19496,4,7.99,2,258,1,1,0,0,1
269,40,26,150,98867,3,7.12,3,156,0,1,1,0,1
270,40,1,179,49238,4,2.33,2,13,1,1,0,1,1
271,24,15,167,56025,1,1.0,3,76,1,0,1,1,0
272,57,1,48,69886,2,9.08,3,219,1,0,0,1,0
273,38,29,124,33563,3,9.48,3,231,0,0,1,1,1
274,63,19,71,13712,2,7.41,2,293,1,1,1,1,1
275,58,37,134,55489,2,7.38,1,141,0,0,0,1,1
276,55,27,193,42664,2,3.07,3,250,0,0,1,1,0
277,26,24,181,22420,1,5.65,1,295,0,1,0,1,1
278,55,31,120,64610,3,9.93,2,139,0,0,0,1,1
279,36,9,103,15315,4,8.63,1,141,0,1,1,0,1
280,43,39,80,80917,2,3.39,1,128,1,0,0,1,0
281,42,32,144,85033,2,3.36,3,17,0,1,1,1,1
282,30,12,90,89030,2,5.09,3,242,1,1,1,1,1
283,29,36,89,73910,1,4.34,3,163,1,1,0,1,0
284,25,15,158,70972,4,4.03,2,95,0,0,1,0,0
285,39,21,127,65919,2,6.46,1,27,0,1,1,1,1
286,55,19,40,92486,1,0.61,2,229,0,0,0,1,0
287,34,26,150,91288,1,7.75,2,24,1,0,1,1,1
288,44,15,101,14132,2,7.53,2,174,1,1,1,1,1
289,44,33,107,51598,2,8.39,2,160,1,0,1,1,1
290,52,31,130,30551,1,8.49,3,29,1,0,1,0,1
291,60,25,29,78206,1,5.88,1,164,1,0,0,1,0
292,60,24,174,84900,2,7.91,3,207,1,1,0,1,1
293,30,1,31,36296,1,5.18,3,101,1,0,0,1,0
294,49,11,26,28066,1,9.54,2,105,1,0,0,0,0
295,49,39,164,38892,2,2.31,3,68,1,0,0,0,0
296,56,8,133,85577,2,9.2,1,7,0,0,0,0,1
297,43,11,45,84590,3,2.96,2,122,1,0,1,0,0
298,52,25,34,87173,4,1.48,3,100,0,0,1,1,0
299,55,8,52,86293,2,4.67,2,0,0,1,1,1,0
300,50,9,81,74771,2,6.34,1,6,1,1,1,0,1
301,55,31,66,37484,2,2.69,2,110,1,1,1,0,0
302,27,33,114,87865,4,5.78,3,185,1,1,0,1,1
303,41,19,54,37115,3,8.17,3,215,1,0,0,0,0
304,26,38,95,36038,1,2.94,1,122,1,0,1,1,0
305,57,1,142,46622,4,6.01,1,200,1,0,0,0,1
306,39,0,102,45886,2,3.72,2,7,0,0,0,0,0
307,50,35,44,61284,2,5.53,3,63,0,1,0,0,1
308,52,23,76,19901,3,6.84,1,135,1,1,0,0,1
309,51,26,51,66377,3,3.83,1,185,0,0,0,0,0
310,28,1,82,92910,3,9.95,3,126,0,0,1,0,0
311,57,30,31,59862,1,5.86,1,48,0,0,1,1,0
312,63,13,82,42806,4,8.33,1,165,0,1,0,1,1
313,59,1,96,27659,4,7.39,3,126,0,1,0,1,1
314,46,28,111,33453,3,8.6,1,176,0,1,0,1,1
315,51,14,20,40498,1,2.15,3,202,1,0,1,0,0
316,53,11,198,80393,4,2.61,3,156,0,0,0,1,0
317,57,36,89,26312,2,5.13,2,218,0,0,0,0,0
318,55,27,155,11436,2,8.6,3,284,0,1,0,0,1
319,43,19,152,37569,2,2.38,1,288,0,1,0,0,1
320,54,38,105,68813,4,9.73,2,27,1,1,1,1,1
321,45,23,58,83229,3,1.71,2,82,0,0,1,0,0
322,55,20,42,55986,2,2.16,1,111,1,1,0,0,0
323,25,9,87,63177,3,2.09,2,153,0,0,1,0,0
324,40,13,199,19305,1,6.07,1,28,1,0,0,0,1
325,47,36,23,42646,2,9.22,2,212,0,0,1,1,0
326,64,17,145,86126,1,2.92,1,101,0,1,0,0,1
327,53,23,194,50430,3,5.75,3,213,0,1,1,1,1
328,25,13,40,78659,4,2.17,3,154,1,1,0,0,0
329,62,33,124,14158,3,6.5,2,199,1,1,0,1,1
330,46,11,85,84236,2,1.67,2,167,1,1,0,1,0
331,54,21,26,86067,2,5.17,3,237,1,1,0,1,1
332,44,5,68,37738,3,6.72,1,158,0,0,1,1,0
333,45,35,35,19879,2,6.0,2,192,0,1,1,1,1
334,24,35,164,15543,2,1.83,3,166,1,1,1,1,1
335,49,21,103,57924,1,2.03,2,225,0,0,1,1,0
336,64,13,106,52348,4,6.88,3,250,0,1,0,0,1
337,24,15,117,94117,3,8.18,3,279,0,1,1,0,1
338,48,35,94,46679,1,9.13,3,220,1,0,1,1,0
339,39,24,53,89118,2,8.23,1,22,1,1,1,1,1
340,62,31,180,53888,1,9.75,2,188,0,0,1,1,1
341,55,32,45,40276,4,4.38,1,271,1,0,0,0,0
342,31,35,85,14799,3,3.65,1,26,1,0,0,0,0
343,61,19,144,70558,4,0.77,3,209,1,1,1,0,1
344,51,17,82,46534,4,4.77,1,34,1,0,1,1,0
345,64,37,106,41668,1,6.69,2,197,0,1,0,1,1
346,48,2,60,14111,1,8.25,2,173,1,0,0,1,0
347,57,22,117,34686,4,3.04,3,217,1,1,1,0,1
348,47,31,143,82551,2,5.38,3,55,0,0,1,1,1
349,46,15,98,82392,3,6.79,2,151,1,1,1,1,1
350,35,4,29,26490,2,5.74,2,37,0,1,1,1,1
351,29,3,34,45194,2,3.1,3,197,0,1,0,0,0
352,58,20,61,24497,3,8.06,1,8,1,1,0,1,1
353,42,39,112,63516,1,2.15,2,177,0,1,0,1,1
354,23,13,36,98730,2,9.1,3,175,0,1,0,0,1
355,30,38,28,54104,1,9.55,3,260,1,1,0,0,1
356,38,30,133,15316,3,3.97,2,83,1,1,0,0,1
357,36,13,55,48130,2,4.07,3,138,1,1,1,0,0
358,34,5,55,80229,1,7.56,2,241,0,0,0,1,0
359,45,11,67,39954,1,4.83,3,154,0,0,1,1,0
360,37,15,70,31652,2,0.77,3,220,0,0,0,1,0
361,50,16,116,24178,3,9.24,1,134,0,0,1,0,1
362,56,22,138,61163,4,4.59,3,187,0,0,0,0,0
363,24,13,114,24751,1,2.43,2,177,0,1,0,0,1
364,54,6,89,75961,3,5.78,2,66,1,0,1,0,0
365,45,31,93,13044,2,2.58,1,68,0,0,1,1,0
366,44,14,99,73165,1,2.46,2,76,0,0,1,1,0
367,47,16,87,21480,1,5.68,3,11,1,0,1,0,0
368,44,33,169,75439,1,4.21,1,282,0,1,0,1,1
369,44,4,96,53874,3,5.94,2,245,0,1,0,1,1
370,64,26,135,76775,1,9.97,3,236,0,0,0,0,1
371,28,22,25,16566,1,8.66,1,251,1,0,0,1,0
372,37,39,173,95311,2,0.57,3,206,1,0,0,1,0
373,59,13,94,63149,1,0.98,2,107,1,0,1,1,0
374,55,14,107,13006,3,6.3,2,208,1,1,0,0,1
375,30,32,22,82561,2,6.45,2,292,0,1,0,0,1
376,27,30,71,29423,4,8.84,2,112,0,1,1,0,1
377,61,34,93,43952,2,6.48,1,14,1,0,0,0,0
378,26,16,144,37326,1,2.66,2,82,0,1,1,1,1
379,28,27,84,41139,4,4.95,1,64,0,0,0,0,0
380,54,18,71,72103,2,8.19,1,2,0,1,0,1,1
381,52,22,95,70857,1,9.27,3,235,1,1,0,1,1
382,57,31,161,83638,2,2.75,2,128,0,0,1,0,0
383,62,39,108,82652,3,5.63,3,246,1,1,1,0,1
384,38,12,91,22937,1,2.01,3,234,0,1,1,0,0
385,35,19,87,40161,3,5.22,3,29,0,0,0,0,0
386,64,34,175,14383,1,1.36,3,70,1,1,1,1,1
387,52,4,157,95856,3,9.45,3,147,1,1,0,1,1
388,41,8,134,80043,4,6.56,2,92,0,0,0,1,1
389,39,28,76,24735,3,8.62,3,282,1,1,1,0,1
390,41,5,85,69919,2,9.98,1,216,1,0,1,0,0
391,50,24,109,92055,1,2.24,1,237,0,0,1,0,0
392,48,30,69,77561,2,7.09,2,226,1,0,0,0,0
393,59,21,33,95455,3,8.93,1,218,1,0,1,1,0
394,48,1,35,47622,1,5.97,3,30,1,0,0,0,0
395,45,4,190,48135,3,6.58,1,113,1,0,0,1,1
396,31,26,61,45658,4,4.37,3,101,1,0,1,1,0
397,34,24,129,94677,4,6.91,2,92,1,0,0,1,1
398,23,7,41,39696,4,4.26,1,206,0,0,1,0,0
399,23,0,87,13773,3,5.03,1,228,1,0,0,0,0
400,56,19,38,34956,3,1.48,1,70,1,0,0,1,0
401,54,22,85,25819,4,0.57,2,135,0,0,0,0,0
402,47,31,186,11528,3,1.02,2,283,1,0,1,0,0
403,62,10,92,96491,2,2.33,1,16,1,1,0,0,0
404,23,38,166,54588,3,4.84,2,214,0,0,0,1,0
405,38,23,163,80585,2,0.7,3,243,0,0,0,1,0
406,61,10,73,30511,4,1.98,2,94,1,0,1,1,0
407,27,28,172,20119,3,7.92,1,120,1,1,0,1,1
408,44,25,131,85893,4,7.74,3,5,0,0,0,1,1
409,51,15,37,26167,1,8.0,1,267,1,1,1,0,1
410,25,34,170,66503,3,9.25,1,86,1,0,0,0,1
411,34,19,136,97789,3,1.63,1,188,0,1,1,1,1
412,48,2,104,44889,4,2.05,2,102,0,1,1,1,1
413,38,0,158,55678,4,3.67,1,103,0,1,1,1,1
414,59,0,58,70262,4,9.19,3,290,1,1,0,1,1
415,44,16,124,14681,1,7.87,3,66,0,1,0,0,1
416,51,1,87,90291,1,3.58,3,105,1,0,0,1,0
417,36,28,44,76008,4,1.33,1,247,0,0,0,0,0
418,50,19,177,23690,3,6.36,3,206,0,0,0,1,1
419,27,5,192,35912,3,2.94,3,204,1,1,0,0,1
420,52,7,142,16473,4,5.55,3,82,0,1,1,0,1
421,27,28,140,51298,2,9.45,3,81,1,1,1,0,1
422,34,32,80,28669,1,5.94,2,286,1,1,1,1,1
423,38,2,119,91998,1,9.28,1,36,1,0,0,1,1
424,48,34,70,30943,2,4.23,1,212,1,1,1,1,0
425,48,4,117,48785,4,6.52,3,132,1,0,1,1,1
426,43,26,156,73427,3,8.99,1,114,0,1,0,0,1
427,61,11,21,72001,3,6.09,3,210,0,1,0,1,1
428,58,19,24,71724,1,6.34,3,131,1,1,1,1,1
429,55,19,199,20832,2,7.3,3,153,1,1,1,1,1
430,52,8,105,15385,3,8.88,1,293,1,1,0,1,1
431,59,38,152,24708,1,1.34,2,181,1,0,1,1,0
432,45,3,87,68600,3,3.7,1,146,0,1,1,0,0
433,32,18,28,33438,3,4.28,1,221,0,0,0,0,0
434,27,37,112,92747,3,9.14,2,281,0,0,1,0,1
435,58,26,169,90107,1,9.58,1,126,0,1,0,1,1
436,56,12,174,70062,2,1.64,2,202,0,1,0,1,1
437,53,12,157,75428,4,1.63,3,117,0,1,1,0,1
438,32,21,144,96843,2,9.38,2,60,1,1,1,1,1
439,41,27,80,21002,3,3.31,3,230,0,1,0,0,0
440,54,21,70,46153,2,2.8,2,149,0,1,0,0,0
441,23,18,29,32440,3,0.84,3,144,1,0,1,0,0
442,27,7,153,77501,1,3.12,1,110,1,0,0,0,0
443,26,7,81,42556,1,7.09,2,166,1,1,1,0,1
444,38,25,132,77963,1,4.55,1,188,1,1,1,1,1
445,46,25,152,16563,3,5.41,3,48,1,0,0,1,1
446,38,22,141,89923,2,9.21,2,106,0,0,1,1,1
447,24,12,142,15840,4,1.59,2,92,1,0,1,1,0
